STATE_NAME,Total_M_Loss_2006,N_Comp_2006,Total_M_Loss_2007,N_Comp_2007,Total_M_Loss_2008,N_Comp_2008,Total_M_Loss_2009,N_Comp_2009,Total_M_Loss_2010,N_Comp_2010,Total_M_Loss_2011,N_Comp_2011,Total_M_Loss_2012,N_Comp_2012,Total_M_Loss_2013,N_Comp_2013,Total_M_Loss_2014,N_Comp_2014,Total_M_Loss_2015,N_Comp_2015,Total_M_Loss_2016,N_Comp_2016
Alabama,2400000,1980,2500000,2152,2620000,2998,5700000,3712,5500000,3949,4087028,4022,5093048.54,3659,6097466,979,5529073,3202,"11,996,901",3507,"7,178,091",1226
Alaska,650000,1853,680000,2436,41538,2317,9700000,3394,1700000,4860,1275859,1539,1665603,1542,1134677,221,1273764,2379,"6,217,134",1379,"2,276,799",215
Arizona,4800000,4477,7300000,4981,8050000,6595,17800000,7982,9400000,7899,10999652,7196,11484211,5990,12518439,1764,25399954,6040,"18,087,735",5770,"20,567,423",2226
Arkansas,1500000,1197,1300000,1354,1750000,1719,4500000,2041,2100000,2126,2925389,2105,3564473,1918,2628423,442,3972610,2053,"4,817,249",1915,"7,917,870",532
California,23200000,23774,29200000,25904,42480000,34851,92400000,39758,46300000,41621,70479912,37552,68120064,31780,105118346,12505,131363796,30923,"195,490,403",34842,"255,181,657",15240
Colorado,5100000,4010,5400000,4407,5300000,6691,13600000,7196,11600000,8202,8110787,6787,8358573,5553,10611521,1195,11487488,4953,"15,411,608",5270,"30,893,224",1628
Connecticut,2100000,2007,200000,1873,2100000,2278,8600000,2676,3300000,3038,4434352,2953,4106121,2574,3909247,635,11478793,2295,"10,499,866",2533,"6,960,531",794
Delaware,600000,441,340000,440,700000,609,8000000,827,1200000,911,872365,817,1849420,720,2180846,505,2434469,802,"1,581,291",761,"1,675,255",1149
District of Columbia,300000,457,290000,460,297005,708,1340000,791,720000,911,1825865,911,765478,733,918293,2142,1551758,806,"2,729,582",890,"1,921,649",1360
Florida,17600000,12519,22800000,12992,24900000,16936,46800000,21551,37000000,24000,31552488,21997,34419348,18903,48778217,7447,52544107,18637,"94,526,977",20306,"88,841,178",8528
Georgia,6500000,5142,7300000,4711,6700000,6514,14300000,6935,10600000,7899,8089934,7007,12150521,6175,18693316,2800,15847730,5706,"17,950,722",6374,"25,477,413",3614
Hawaii,1100000,819,1000000,810,880000,1094,2000000,1267,1900000,1215,2675128,1288,2301640,1135,2415892,216,2497141,1020,"3,395,581",1074,"2,924,323",296
Idaho,1400000,1040,1200000,948,1000000,1353,3300000,1465,1700000,1519,2229701,1382,2096452,1173,2748012,223,3380639,1057,"2,493,999",1068,"4,174,839",346
Illinois,6000000,6246,9100000,6214,7100000,8049,16700000,10148,14900000,10025,11121452,9647,14316107,8297,15907173,2911,20685294,7746,"33,259,081",8413,"32,938,414",3841
Indiana,2900000,3567,3700000,3511,4300000,4649,10900000,5315,6500000,5468,6313102,5247,7031361,4426,8142650,1117,6264190,4102,"12,275,440",5716,"9,266,381",1246
Iowa,1700000,1275,1800000,1276,1700000,1631,2950000,1955,2000000,1822,2530020,2136,3288725,1782,3671707,330,2687857,1454,"4,239,477",1593,"5,013,079",565
Kansas,2100000,1546,1400000,1418,2300000,2417,7600000,2510,4500000,2430,2632465,2168,3370320,2003,2572215,507,4378440,1688,"3,879,576",1799,"7,011,898",1079
Kentucky,1900000,1876,1900000,1818,1700000,2317,3200000,2821,3000000,3038,3792044,2733,4739164,2570,4117820,683,5342414,2346,"6,127,717",2529,"9,381,342",777
Louisiana,2800000,2021,3000000,1971,2700000,2681,5500000,3300,5200000,3341,3832686,3205,3941008,2731,4627893,766,5868218,2382,"8,255,605",2639,"13,290,356",919
Maine,900000,749,900000,739,600000,950,1500000,1106,1500000,1215,1009523,1005,1213729,965,4137228,268,843184,726,"1,018,078",782,"1,192,677",240
Maryland,4700000,3907,5900000,4685,5700000,6287,10500000,6935,11300000,8202,8052280,6913,9763989,6146,9522259,1310,9009877,5677,"16,071,212",5944,"23,145,424",3241
Massachusetts,2200000,3430,2900000,3499,3200000,4492,6600000,5232,3600000,5772,6183331,5059,7134399,4383,10570678,1181,12309742,4182,"16,827,318",4372,"20,324,110",1443
Michigan,3600000,5144,4800000,5007,4600000,6482,12500000,7800,7400000,8202,8850400,7479,8783165,6135,10697615,1631,12407668,5633,"20,591,750",6265,"24,174,754",2178
Minnesota,2800000,2550,3900000,2773,2500000,3578,5680000,3899,5680000,4253,4704908,3708,4715270,3116,6731363,816,9441547,2876,"9,310,006",3303,"12,634,057",1084
Mississippi,700000,1013,700000,937,850000,1302,2500000,1512,1600000,1519,1577778,1728,1576410,1450,3084199,333,2580678,1315,"3,099,537",1353,"3,473,575",1384
Missouri,1000000,3249,4700000,3386,4000000,4279,6000000,5118,5000000,4860,4547345,4682,7108501,4011,5845699,1021,7156094,3487,"14,530,794",4210,"15,886,334",1384
Montana,700000,536,588000,570,667000,694,1200000,869,1295000,911,1475823,942,1080190,781,901950,340,847657,691,"1,633,263",733,"3,052,401",547
Nebraska,700000,841,900000,781,900000,1312,1600000,1177,1281994,1215,1683598,1099,1400493,1101,2353819,662,3785798,880,"2,998,359",1079,"4,289,411",2444
Nevada,2900000,2049,3700000,2101,4100000,2940,6700000,3588,6633148,3949,6122688,3865,6840663,3555,10171633,1538,12294762,3716,"13,192,963",3660,"15,246,405",1748
New Hampshire,1000000,1965,760000,864,860000,1139,1400000,1341,1298148,1519,2042570,1225,1098554,1047,1683034,230,3025825,904,"3,048,031",945,"3,171,083",250
New Jersey,6900000,6333,8500000,5554,7500000,8270,12400000,14520,12396583,13063,9932889,12632,11933510,9039,13402721,2037,19232722,7028,"21,332,409",7215,"24,500,833",2439
New Mexico,770000,1263,1100000,1055,1150000,1469,3300000,1177,2004974,2126,2557720,1854,2366605,1521,2888398,300,4177506,1504,"2,872,694",1443,"8,701,654",406
New York,11300000,9630,14100000,10178,15820000,13010,41700000,14778,26533079,17620,23162563,16560,28108596,13517,38027647,7189,47150859,14430,"58,083,855",15116,"106,225,695",7636
North Carolina,3000000,4866,3600000,4625,3600000,6378,11400000,7407,6976625,7595,9054427,7384,10215268,6277,10416194,1782,13362999,5724,"18,901,866",6112,"24,194,018",287
North Dakota,300000,264,220000,225,300000,320,750000,374,426133,303,587752,408,1500790,427,1446979,331,1495117,360,"998,022",368,"859,856",287
Ohio,6600000,5815,6800000,5640,6700000,7285,22400000,8663,10163291,8810,10619201,13921,9876913,7234,12351755,2014,12345292,6114,"15,280,845",6458,"20,410,854",2414
Oklahoma,1400000,1752,1000000,1557,2600000,2417,8600000,2704,3100000,2734,3660524,2639,3797584,2263,5199764,625,6240131,2027,"8,027,851",2402,"15,412,650",1283
Oregon,2900000,2774,2900000,2976,2000000,3829,5100000,4751,4200000,4253,3671495,3928,6166365,3413,6398079,876,9178386,2906,"9,630,730",3294,"13,767,261",1109
Pennsylvania,7400000,7044,7400000,6494,9300000,8703,27500000,9858,12800000,10937,12454055,10495,14301253,8763,14398601,2463,20806848,8138,"26,204,814",7927,"27,432,303",2433
Rhode Island,640000,581,600000,535,500000,749,1000000,830,1600000,911,2112805,848,1173071,731,1620972,199,1525758,582,"1,816,091",638,"1,570,612",200
South Carolina,1500000,2161,1500000,2096,2500000,2175,7200000,3439,5600000,3645,4593741,3425,5633903,3333,4839453,870,9077367,2836,"14,176,493",3099,"10,860,131",1374
South Dakota,340000,265,480000,297,600000,389,500000,421,800000,607,498387,471,592790,394,768105,145,1023368,336,"1,733,244",3386,"933,723",146
Tennessee,3900000,3201,3400000,3147,3200000,4453,6000000,5555,6800000,5772,5540995,5687,7327960,4727,7091950,1039,6453385,3909,"11,208,885",4571,"12,557,922",1814
Texas,10300000,12698,11500000,12918,14600000,17114,33600000,20841,21700000,22178,29915173,20300,30445492,17119,56534880,6762,50116593,16954,"62,976,459",18392,"77,135,765",11309
Utah,5600000,2513,2200000,1758,2000000,2253,4900000,2506,3600000,2734,2481421,2262,3006580,1868,5941062,846,6172314,1825,"6,500,856",1947,"7,304,226",1262
Vermont,220000,362,320000,366,296000,486,300000,576,800000,607,571938,597,563267,464,901275,110,1165746,382,"656,631",382,"855,007",186
Virginia,5300000,5267,5900000,5270,6480000,7033,19400000,8179,11000000,9114,11332175,9301,12111084,7812,20319530,1680,16571859,7112,"20,098,497",7534,"49,175,677",2603
Washington,4200000,4792,4700000,5612,5000000,6939,12400000,8035,9800000,8810,9572357,7667,11515862,6434,14138154,2348,14780493,6388,"27,642,344",6518,"25,728,634",2779
West Virginia,1000000,982,1000000,913,1056745,1218,2700000,1389,2600000,1519,1814270,1539,2668497,1255,1582525,262,2330137,1088,"23,346,881",1083,"2,576,787",312
Wisconsin,3200000,2897,2600000,2790,2900000,3509,4900000,2506,4900000,4253,5196383,4368,6247486,3593,6382394,788,9235027,3231,"10,101,998",3427,"10,309,552",774
Wyoming,380000,333,530000,379,400000,474,900000,505,800000,607,636685,565,613214,461,751337,147,1236741,561,"1,507,488",475,"913,941",138
Average,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,
,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,
